Employee_Name,EmpID,State,Zip,DOB,DateofHire,DateofTermination,Age,PayRate,Position,Sex,Sexual_Orientation,LGBTQ,Indigenous,Ethnicity,Disability,Minority,Veteran,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,Attrition,DistanceFromHome,JobInvolvement,JobSatisfaction,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PercentageSalaryHike,TotalWorkingYear
sdv-id-xdxxCi,734997686,New Hampshire,3514,08/17/1992,2011-03-16,Present,20,33.13,Area Sales Manager,Male,Prefer not to say,Yes,No,Asian,Yes,No,No,Voluntarily Terminated,Production       ,Monster.com,Fully Meets,No,30.42,2,4,No,17,1,9,80,0,2,5,4,0,2,0,0.0,24.52,24
sdv-id-uZwHJp,4684007828,Wisconsin,5651,07/31/1984,2008-09-18,Present,32,46.25,Accountant I,Prefer not to say,Heterosexual,No,No,White,No,Yes,No,Terminated for Cause,Production       ,Diversity Job Fair,Exceeds,No,41.16,1,3,No,17,3,5,80,0,4,4,6,3,0,1,0.0,4.6,10
sdv-id-tDGfox,6388100086,South Dakota,2434,06/17/1990,2007-01-22,2011-04-07,46,82.05,Network Engineer,Female,Heterosexual,No,No,White,No,No,No,Leave of Absence,Production       ,Employee Referral,Fully Meets,No,4.09,3,7,Yes,16,5,4,80,0,2,5,2,5,6,0,1.0,16.93,14
sdv-id-SCCcYN,9244010360,New Mexico,1577,08/15/1985,2005-10-14,2021-11-26,34,94.51,Accountant I,Female,Prefer not to say,No,No,White,No,Yes,Yes,Active,IT/IS,Diversity Job Fair,Fully Meets,Yes,19.33,2,6,Yes,20,6,9,80,0,0,3,8,6,0,0,1.0,28.35,18
sdv-id-BShQbN,6271282888,Utah,66478,03/06/1985,2014-08-11,Present,38,86.79,Production Technician I,Female,Bisexual,Prefer not to say,No,White,Yes,No,No,Voluntarily Terminated,Production       ,Employee Referral,Exceeds,No,27.94,6,3,No,11,6,9,80,1,0,3,7,0,1,0,0.0,18.18,5
sdv-id-vatlXl,6551185653,Illinois,1013,07/09/1983,2003-08-22,Present,35,60.56,IT Manager - DB,Female,Prefer not to say,No,No,Asian,No,No,No,Voluntarily Terminated,Sales,Website Banner Ads,Fully Meets,Yes,34.79,1,5,No,13,10,3,80,1,0,3,9,5,2,1,1.0,16.62,18
sdv-id-xNmxaO,687699867,Alaska,3184,03/10/1992,2016-06-02,Present,18,26.05,Data Analyst,Male,Heterosexual,Prefer not to say,No,White,Yes,Yes,Yes,Terminated for Cause,Admin Offices,Monster.com,Fully Meets,No,6.74,8,5,No,11,4,3,80,0,0,3,7,1,0,0,0.0,27.64,10
sdv-id-IqVEeQ,8529333730,South Carolina,3531,01/18/1977,2020-06-08,2021-06-14,35,90.15,Production Technician I,Female,Prefer not to say,Yes,No,White,No,Yes,Yes,Leave of Absence,Sales,Indeed,Fully Meets,No,32.21,5,6,No,13,5,10,80,1,2,3,5,0,0,1,3.0,26.31,33
sdv-id-GDqsLM,281593078,Rhode Island,5866,12/12/1974,2014-06-16,Present,28,25.86,Area Sales Manager,Female,Heterosexual,No,No,White,Yes,No,Yes,Active,Production       ,Search Engine - Google Bing Yahoo,Fully Meets,No,8.85,3,3,Yes,11,3,7,80,0,0,2,5,2,2,0,1.0,27.23,28
sdv-id-VwCeWT,307827398,Georgia,5123,09/07/1983,2019-09-24,Present,36,141.11,Sr. Network Engineer,Male,Bisexual,No,No,White,Yes,Yes,No,Active,IT/IS,Search Engine - Google Bing Yahoo,Fully Meets,No,45.39,5,4,No,18,8,7,80,0,0,0,8,1,0,0,8.0,5.05,22
sdv-id-tFGAGw,869244065,Virginia,1013,05/18/1978,2017-01-06,2020-02-02,46,129.65,Production Technician I,Male,Heterosexual,No,No,Asian,No,No,No,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,No,19.13,2,6,No,16,6,8,80,1,3,1,7,10,1,0,1.0,10.63,9
sdv-id-AqWmKb,797365770,Maryland,5725,08/17/1992,2017-10-31,2020-02-28,44,40.14,Production Technician I,Female,Heterosexual,Yes,No,White,Yes,No,Yes,Active,Admin Offices,Internet Search,Fully Meets,No,24.12,5,1,No,16,9,6,80,0,3,3,10,3,0,0,2.0,4.28,6
sdv-id-QJtCCs,557675822,Iowa,98052,12/04/1983,2013-07-26,2021-04-10,42,84.83,Production Technician I,Prefer not to say,Prefer not to say,No,No,Asian,Yes,No,No,Active,IT/IS,Monster.com,Fully Meets,No,5.43,3,2,No,13,7,6,80,0,5,3,6,5,2,0,0.0,5.24,12
sdv-id-oHvWyo,4766665112,Alaska,48961,11/19/1991,2005-01-09,Present,26,49.68,Area Sales Manager,Female,Heterosexual,Prefer not to say,No,Middle Eastern,Yes,Yes,No,Voluntarily Terminated,Production       ,Internet Search,Fully Meets,Yes,47.43,2,7,No,18,3,5,80,1,2,1,4,0,4,2,0.0,20.34,11
sdv-id-NhbRAy,625660799,Illinois,6508,08/13/1973,2018-08-14,Present,23,48.16,Production Technician I,Female,Bisexual,No,Yes,White,Yes,Yes,Yes,Active,IT/IS,Monster.com,Fully Meets,No,2.62,4,6,No,11,7,3,80,1,0,3,8,1,2,7,0.0,23.04,36
sdv-id-zEuxym,3298600317,Maine,1409,10/19/1987,2003-04-06,Present,29,21.48,Area Sales Manager,Female,Heterosexual,No,No,White,No,No,Yes,Active,Production       ,Monster.com,Fully Meets,No,6.45,4,5,No,12,9,6,80,1,3,3,8,0,2,1,0.0,23.04,34
sdv-id-KqeEFg,1690979492,Vermont,2640,09/21/1953,2013-07-01,2018-12-09,34,90.14,Production Technician I,Male,Homosexual,No,No,White,Yes,No,No,Active,Software Engineering,Employee Referral,Fully Meets,Yes,38.74,8,5,No,20,5,3,80,0,6,4,8,5,0,1,7.0,3.96,1
sdv-id-lMrAEo,1432960301,South Carolina,2907,07/15/1983,2010-06-01,2023-12-23,30,19.4,Production Technician II,Male,Heterosexual,No,No,Asian,Yes,No,Yes,Active,Production       ,Diversity Job Fair,Fully Meets,No,45.8,2,6,Yes,15,10,8,80,1,3,2,9,0,7,0,1.0,24.19,0
sdv-id-bbWMlF,8547067910,Colorado,2955,02/16/1985,2016-07-07,2024-03-04,45,59.64,Production Technician I,Male,Heterosexual,Yes,No,White,Yes,Yes,Yes,Voluntarily Terminated,Production       ,Billboard,Fully Meets,Yes,7.69,3,2,Yes,13,6,6,80,2,0,3,7,0,2,0,5.0,22.21,3
sdv-id-tjgDYI,385198068,Rhode Island,1013,04/11/1980,2019-07-24,2020-10-23,58,32.14,Production Technician I,Male,Heterosexual,Yes,No,Black,Yes,No,Yes,Active,Production       ,Search Engine - Google Bing Yahoo,Fully Meets,No,26.88,1,8,No,20,3,6,80,3,2,3,3,11,2,1,1.0,23.66,1
sdv-id-wPGmvD,9949366467,West Virginia,1396,06/11/1991,2002-03-06,2003-07-30,52,65.0,Database Administrator,Prefer not to say,Heterosexual,No,No,White,Yes,Yes,No,Terminated for Cause,Sales,Employee Referral,Fully Meets,No,38.36,9,3,No,11,5,10,80,0,2,2,3,0,0,1,,27.98,28
sdv-id-zRHxoV,8281015398,Wisconsin,1013,01/01/1971,2019-06-19,2021-12-18,33,39.96,Area Sales Manager,Male,Heterosexual,No,No,White,No,No,Yes,Voluntarily Terminated,Sales,Monster.com,Fully Meets,No,22.19,1,4,No,15,10,3,80,1,0,3,10,2,0,0,0.0,4.61,17
sdv-id-zdCUTx,2649915643,Texas,1013,05/10/1962,2021-09-12,Present,48,100.49,Production Technician II,Male,Heterosexual,No,No,White,Yes,No,No,Active,IT/IS,Search Engine - Google Bing Yahoo,Fully Meets,No,36.91,1,1,No,15,10,9,80,1,4,3,10,5,2,0,1.0,26.28,23
sdv-id-zgTlQF,876996897,Nevada,98052,11/08/1990,2016-09-28,Present,29,117.26,Accountant I,Female,Prefer not to say,No,No,Latin,No,No,No,Voluntarily Terminated,Admin Offices,MBTA ads,Needs Improvement,No,9.97,3,4,No,13,10,2,80,2,11,4,10,11,0,0,3.0,26.36,31
sdv-id-BINHmQ,561675191,Iowa,5675,08/05/1980,2007-03-13,Present,58,97.99,Sales Manager,Female,Heterosexual,Prefer not to say,No,Asian,No,No,Yes,Active,IT/IS,MBTA ads,Needs Improvement,No,21.13,3,9,No,19,5,10,80,1,3,2,5,10,0,0,0.0,27.78,13
sdv-id-nFwNrN,9393493154,Maine,2980,08/17/1992,2022-12-01,Present,47,40.38,Area Sales Manager,Male,Prefer not to say,No,No,White,No,No,No,Active,Production       ,On-campus Recruiting,Fully Meets,No,16.79,9,6,No,11,2,1,80,1,0,6,4,3,0,0,0.0,19.03,12
sdv-id-PJXtXz,598358033,Texas,1524,03/14/1987,2009-12-05,2022-11-07,52,75.82,Production Technician II,Female,Heterosexual,Yes,No,White,No,Yes,Yes,Active,Sales,Website Banner Ads,Exceeds,No,49.07,9,8,No,12,10,1,80,0,4,5,10,2,5,0,,9.86,1
sdv-id-HcWxva,4239898171,Oklahoma,2210,09/12/1983,2021-07-23,2022-08-30,44,89.41,Production Technician I,Male,Heterosexual,Yes,No,Latin,Yes,Yes,No,Future Start,IT/IS,Professional Society,Fully Meets,Yes,21.51,4,3,No,21,1,2,80,1,1,1,2,6,1,0,,5.9,2
sdv-id-aPHJsI,520123577,Alaska,98052,11/12/1986,2011-04-12,Present,25,125.07,Production Technician II,Prefer not to say,Homosexual,Yes,No,White,No,No,No,Active,Admin Offices,Glassdoor,Fully Meets,No,24.98,2,2,No,16,3,3,80,0,0,6,2,6,0,0,0.0,10.95,5
sdv-id-ZTACZl,8333813738,South Carolina,3562,06/20/1983,2013-07-02,Present,29,114.86,Network Engineer,Female,Heterosexual,No,No,White,Yes,No,No,Voluntarily Terminated,Production       ,Search Engine - Google Bing Yahoo,Fully Meets,Yes,42.93,2,3,No,14,6,9,80,1,0,2,7,0,0,0,7.0,24.87,2
sdv-id-AldiRT,677165309,Iowa,4151,03/11/1980,2010-11-24,Present,36,87.75,Production Technician I,Transgender,Heterosexual,Yes,No,White,Yes,Yes,Yes,Active,IT/IS,Internet Search,Fully Meets,No,6.45,4,3,Yes,12,2,8,80,1,2,2,3,2,0,2,0.0,10.25,20
sdv-id-mjItRN,714846639,South Dakota,2185,04/28/1992,2007-09-11,2015-12-13,39,85.0,Area Sales Manager,Male,Heterosexual,Yes,No,Asian,No,No,No,Active,Production       ,Word of Mouth,Fully Meets,No,10.73,4,4,No,15,8,6,80,1,0,3,8,1,0,1,9.0,4.24,1
sdv-id-LUXfNY,2619995023,Mississippi,3672,01/02/1951,2010-04-11,Present,33,35.68,Production Technician II,Prefer not to say,Heterosexual,Prefer not to say,Prefer not to say,Asian,No,No,Yes,Active,Production       ,Website Banner Ads,Fully Meets,No,6.35,7,1,No,16,1,8,80,2,4,5,3,1,1,1,5.0,11.03,23
sdv-id-aLiwKP,261298822,Oregon,3718,08/17/1992,2007-07-03,Present,45,40.78,Production Technician II,Non-binary/non-conforming,Homosexual,No,No,White,Yes,No,No,Active,Production       ,Indeed,Exceeds,No,18.6,9,3,No,16,6,9,80,1,0,3,7,3,7,2,0.0,20.12,1
sdv-id-ZwUbRG,498881737,West Virginia,4917,07/13/1986,2001-12-07,2006-11-09,35,99.91,Production Technician I,Female,Heterosexual,Yes,No,White,Yes,No,No,Active,Software Engineering,Website Banner Ads,Needs Improvement,No,13.84,9,4,Yes,13,8,2,80,1,0,6,10,9,3,0,1.0,7.15,31
sdv-id-MrltUN,1423245103,Nevada,1013,12/26/1975,2000-04-18,2023-05-23,43,27.34,Area Sales Manager,Male,Heterosexual,Prefer not to say,No,White,Yes,No,No,Active,Production       ,Newspager/Magazine,Fully Meets,No,3.93,8,4,No,11,7,2,80,0,0,3,7,0,0,1,0.0,15.0,7
sdv-id-YUJeKl,1187083213,Arkansas,6315,08/17/1992,2008-12-10,2012-12-15,49,136.8,Area Sales Manager,Female,Heterosexual,No,No,Middle Eastern,Yes,Yes,No,Active,Production       ,Word of Mouth,Fully Meets,No,26.0,10,10,No,11,6,3,80,1,0,3,6,4,2,2,5.0,7.73,31
sdv-id-voNGGP,740905911,West Virginia,4593,05/29/1990,2001-02-28,Present,52,71.02,Production Technician I,Male,Heterosexual,Prefer not to say,No,Black,No,No,Yes,Active,Production       ,Professional Society,PIP,No,19.41,7,4,No,11,4,9,80,1,2,2,7,5,7,0,1.0,3.83,18
sdv-id-jFNPnP,858195680,New York,5418,10/28/1987,2023-04-16,Present,26,92.77,Area Sales Manager,Female,Heterosexual,No,No,Asian,Yes,No,No,Voluntarily Terminated,IT/IS,Monster.com,Exceeds,No,48.74,4,8,No,15,3,6,80,1,0,6,1,11,4,0,2.0,29.98,30
sdv-id-axElRr,306713366,Michigan,1013,02/26/1976,2021-02-24,Present,36,93.83,Production Technician I,Male,Heterosexual,No,No,Other,No,No,No,Active,Production       ,Professional Society,Exceeds,No,47.06,2,6,No,11,4,1,80,0,3,5,5,2,3,0,0.0,16.39,31
sdv-id-meaZBl,8885843202,Massachusetts,5704,07/25/1967,2012-12-29,Present,25,87.21,Area Sales Manager,Female,Homosexual,No,No,Middle Eastern,Yes,Yes,No,Voluntarily Terminated,Production       ,Billboard,PIP,No,33.07,2,4,Yes,13,5,2,80,0,2,2,5,1,3,1,3.0,12.73,12
sdv-id-lGznsP,764699161,Arkansas,4747,12/02/1983,2011-11-07,2019-01-06,35,126.73,Software Engineer,Male,Prefer not to say,No,No,Other,Yes,Yes,No,Active,Production       ,Other,Fully Meets,No,48.65,2,3,No,11,6,7,80,1,0,0,6,2,3,0,1.0,26.69,18
sdv-id-eIQBVp,2375371726,Rhode Island,93824,11/28/1973,2000-06-11,2016-03-14,37,30.6,Production Technician I,Male,Heterosexual,No,No,White,No,No,No,Active,Production       ,Search Engine - Google Bing Yahoo,Exceeds,No,33.51,3,4,No,23,1,4,80,1,4,2,2,3,6,1,8.0,20.28,19
sdv-id-mffRwx,183463084,Massachusetts,1832,11/30/1988,2016-10-02,2018-03-09,26,47.85,Production Technician I,Male,Heterosexual,Yes,No,White,No,No,No,Active,Admin Offices,MBTA ads,Needs Improvement,No,36.37,4,4,No,15,9,6,80,1,5,3,8,4,2,0,3.0,6.45,0
sdv-id-oSccVJ,3635862778,Wyoming,5307,05/18/1979,2006-01-28,2013-05-14,39,31.04,Director of Operations,Female,Heterosexual,No,No,Asian,No,No,No,Active,IT/IS,Glassdoor,Fully Meets,No,37.47,7,2,No,12,7,8,80,2,0,2,8,11,2,0,0.0,3.86,34
sdv-id-GNaLrx,6826059349,Washington,1684,04/01/1984,2001-01-20,2010-11-21,26,124.48,Network Engineer,Male,Heterosexual,No,No,Latin,Yes,No,No,Voluntarily Terminated,Admin Offices,Internet Search,Fully Meets,No,25.28,9,5,No,23,3,5,80,2,4,2,1,8,2,0,1.0,15.11,10
sdv-id-TAgOfn,394047801,Arizona,1424,05/25/1992,2014-02-04,Present,58,68.7,Sr. Accountant,Female,Prefer not to say,Yes,No,White,Yes,Prefer not to say,Yes,Future Start,Production       ,MBTA ads,Fully Meets,No,10.56,1,10,No,18,1,1,80,1,0,3,3,0,1,0,1.0,20.01,5
sdv-id-zuhjuM,6118435666,Hawaii,1013,03/16/1975,2018-06-18,Present,36,112.68,IT Support,Male,Heterosexual,No,No,Middle Eastern,No,No,No,Leave of Absence,Production       ,Social Networks - Facebook Twitter etc,Exceeds,No,24.59,4,5,No,12,6,2,80,2,2,6,5,2,1,1,1.0,4.35,10
sdv-id-JaWDZL,977807017,Delaware,1155,05/03/1982,2007-02-09,Present,29,107.36,Area Sales Manager,Male,Heterosexual,Yes,No,White,Prefer not to say,No,No,Active,IT/IS,Professional Society,Fully Meets,No,49.42,6,6,Yes,11,6,10,80,3,0,1,8,4,7,0,7.0,18.8,6
sdv-id-bsAeXN,4727169195,South Dakota,1013,07/17/1969,2011-01-22,Present,23,20.07,Area Sales Manager,Transgender,Heterosexual,No,No,White,No,Yes,No,Active,Production       ,Pay Per Click - Google,Fully Meets,No,19.76,6,8,No,21,10,2,80,0,6,5,8,3,1,0,2.0,3.12,2
sdv-id-bMsULn,5857801663,Connecticut,2408,08/17/1992,2005-05-05,2019-01-15,45,78.84,Database Administrator,Male,Heterosexual,Yes,No,White,No,No,No,Terminated for Cause,Sales,Pay Per Click - Google,Fully Meets,No,7.85,10,10,No,11,8,2,80,2,2,2,6,0,2,2,0.0,3.61,9
sdv-id-ESsVaw,8492758901,Hawaii,6447,11/17/1987,2010-09-09,Present,20,145.27,Network Engineer,Female,Heterosexual,Prefer not to say,No,Asian,No,No,No,Leave of Absence,Production       ,Newspager/Magazine,Fully Meets,No,30.14,3,10,No,19,8,4,80,0,2,2,9,4,1,0,0.0,12.59,2
sdv-id-tUoofi,712531432,Louisiana,1967,07/28/1990,2007-12-03,2020-11-26,45,59.29,Production Manager,Female,Prefer not to say,No,No,Middle Eastern,No,No,No,Voluntarily Terminated,Production       ,Pay Per Click - Google,Fully Meets,No,37.75,10,4,No,22,10,6,80,1,2,5,10,11,7,0,0.0,15.54,23
sdv-id-DXriKR,537728337,Arizona,1013,06/07/1990,2014-10-31,2020-11-06,47,101.29,Production Technician II,Male,Heterosexual,Yes,No,White,No,Yes,No,Active,Sales,Search Engine - Google Bing Yahoo,Fully Meets,No,3.89,2,9,Yes,13,10,8,80,1,0,3,10,3,1,0,0.0,17.42,0
sdv-id-bJgqrG,139498829,Ohio,1730,07/24/1983,2002-11-08,Present,59,71.33,Sr. Network Engineer,Female,Homosexual,No,No,White,Yes,No,No,Active,Production       ,Glassdoor,Fully Meets,No,34.58,5,6,No,11,4,8,80,1,9,5,7,7,4,5,2.0,11.01,4
sdv-id-DQDtli,5960394927,Indiana,4380,07/30/1975,2017-07-21,Present,27,136.32,Software Engineer,Male,Heterosexual,No,No,White,No,No,No,Active,Production       ,Website Banner Ads,Fully Meets,No,17.27,4,5,No,15,8,7,80,0,0,2,9,1,1,0,8.0,23.81,7
sdv-id-PjnlVk,408237930,New York,2410,02/14/1990,2023-06-26,2023-07-01,27,44.64,Sr. DBA,Female,Heterosexual,Prefer not to say,No,White,No,No,Yes,Active,Sales,Pay Per Click - Google,PIP,No,21.05,10,6,No,11,1,1,80,1,0,2,1,0,1,0,2.0,7.27,21
sdv-id-iUaBbJ,216016608,New Jersey,4577,05/08/1988,2014-03-31,2019-09-02,60,57.1,Network Engineer,Female,Heterosexual,Prefer not to say,No,White,Yes,No,No,Leave of Absence,IT/IS,Newspager/Magazine,Fully Meets,No,18.93,4,2,No,16,5,7,80,1,0,3,6,0,2,0,0.0,6.35,29
sdv-id-KWFeuJ,633326264,Tennessee,6570,12/08/1962,2017-01-15,2024-05-09,40,77.79,Area Sales Manager,Female,Prefer not to say,No,No,White,Yes,Yes,No,Active,Sales,Monster.com,Fully Meets,Yes,14.92,9,2,Yes,16,2,4,80,1,4,2,2,3,3,2,0.0,28.13,21
sdv-id-DKjcyW,5895381543,South Carolina,5710,05/18/1986,2016-07-21,2019-05-12,20,76.64,Production Technician I,Female,Homosexual,Yes,No,White,No,No,No,Voluntarily Terminated,Production       ,Employee Referral,PIP,No,23.12,4,6,No,11,6,7,80,1,0,3,8,1,0,0,0.0,13.02,35
sdv-id-ieCQHv,348988550,Rhode Island,3662,11/27/1976,2019-09-13,2023-09-10,32,28.19,Area Sales Manager,Male,Heterosexual,No,No,Asian,Yes,No,No,Voluntarily Terminated,IT/IS,Pay Per Click - Google,Fully Meets,No,25.32,3,7,Yes,11,10,10,80,1,0,2,10,2,2,0,0.0,17.48,37
sdv-id-WfrXzF,542286964,Utah,6675,07/27/1990,2013-10-13,Present,45,77.0,Area Sales Manager,Male,Heterosexual,Prefer not to say,No,White,No,No,No,Voluntarily Terminated,Production       ,Search Engine - Google Bing Yahoo,Fully Meets,Yes,15.65,1,3,Yes,11,6,2,80,1,4,2,8,4,2,0,0.0,29.29,9
sdv-id-aiNZJY,6314688805,Iowa,1663,08/17/1992,2003-03-24,2008-01-15,19,44.3,Production Technician II,Female,Heterosexual,Prefer not to say,No,White,No,No,Yes,Active,Sales,Professional Society,Fully Meets,No,14.45,8,2,No,11,10,2,80,1,2,2,8,3,0,0,2.0,26.51,9
sdv-id-muKehy,879815331,Virginia,50864,06/29/1981,2003-01-04,Present,55,46.75,Production Technician I,Female,Heterosexual,No,No,White,No,No,No,Active,IT/IS,Diversity Job Fair,Fully Meets,No,39.2,9,4,No,11,7,1,80,0,0,3,10,0,0,0,1.0,25.13,2
sdv-id-EtuAGe,6681339203,Utah,2547,04/04/1982,2002-03-18,2005-12-06,45,60.32,Enterprise Architect,Female,Prefer not to say,No,No,White,No,No,No,Terminated for Cause,IT/IS,Diversity Job Fair,Fully Meets,No,4.6,10,8,No,11,3,4,80,0,5,3,3,3,2,7,3.0,29.98,0
sdv-id-CztxaT,474339933,Virginia,4230,01/31/1982,2000-01-28,2008-03-17,18,87.86,Production Manager,Prefer not to say,Homosexual,Yes,No,Asian,Yes,Yes,No,Active,Production       ,Employee Referral,Fully Meets,No,36.37,3,6,No,12,3,4,80,1,4,5,2,4,2,1,1.0,25.4,19
sdv-id-YBICvu,5525816087,Rhode Island,1877,10/19/1980,2017-01-29,Present,48,146.79,Area Sales Manager,Female,Heterosexual,No,Prefer not to say,White,No,No,Yes,Active,Production       ,Monster.com,Fully Meets,No,22.67,3,9,No,14,5,4,80,0,0,3,7,1,1,1,1.0,10.52,5
sdv-id-BXghvh,325544185,Nevada,1013,09/07/1973,2014-08-04,2023-09-20,42,19.83,Area Sales Manager,Male,Heterosexual,No,No,White,No,No,No,Active,Production       ,Vendor Referral,Fully Meets,No,18.38,4,1,No,12,7,8,80,0,0,3,9,8,0,0,0.0,13.52,4
sdv-id-kDacsb,589706907,South Carolina,28339,02/01/1983,2016-12-24,Present,29,25.05,Area Sales Manager,Prefer not to say,Heterosexual,No,No,Black,No,Yes,No,Voluntarily Terminated,Sales,Employee Referral,Fully Meets,No,13.63,2,6,No,13,1,1,80,0,6,0,3,11,2,0,3.0,8.19,4
sdv-id-pxQmQw,489922889,Florida,1013,12/02/1986,2015-03-12,2023-09-13,21,36.42,Production Technician II,Male,Heterosexual,No,No,Asian,No,No,No,Voluntarily Terminated,Sales,On-campus Recruiting,PIP,Yes,33.51,10,5,No,15,9,4,80,0,3,6,10,2,6,0,0.0,29.89,0
sdv-id-hptweq,396407567,New Hampshire,2684,12/26/1979,2017-08-01,2021-08-30,44,111.0,IT Support,Female,Heterosexual,Yes,No,White,Yes,No,No,Active,IT/IS,On-campus Recruiting,Fully Meets,Yes,45.31,6,2,No,16,7,1,80,1,8,2,8,9,7,0,1.0,14.99,0
sdv-id-aMgQgc,883905295,Texas,4755,01/29/1974,2002-01-17,2008-04-01,31,58.95,Production Technician II,Female,Heterosexual,Yes,No,White,No,Yes,No,Active,Software Engineering,Monster.com,Fully Meets,No,13.48,1,4,No,11,9,8,80,1,6,3,7,2,4,1,2.0,12.89,2
sdv-id-rjDVFp,693053205,South Dakota,5578,03/17/1987,2004-07-08,2013-07-05,27,24.72,Senior BI Developer,Female,Prefer not to say,No,No,White,No,Yes,No,Voluntarily Terminated,Production       ,Information Session,Fully Meets,No,15.73,10,5,No,19,8,1,80,0,6,4,7,2,4,0,1.0,29.01,4
sdv-id-MBReXz,417081189,Connecticut,2885,07/08/1985,2012-09-12,Present,48,73.33,Area Sales Manager,Female,Homosexual,No,No,White,No,Yes,No,Active,Production       ,Other,Fully Meets,No,45.51,10,2,No,11,2,5,80,0,3,2,2,0,1,3,1.0,3.79,40
sdv-id-ujsJRN,322925370,Michigan,5260,06/19/1990,2023-01-09,Present,20,111.42,Production Technician I,Male,Heterosexual,No,No,Middle Eastern,No,Yes,No,Voluntarily Terminated,Admin Offices,Search Engine - Google Bing Yahoo,Exceeds,No,15.77,1,4,No,21,1,3,80,0,3,3,1,5,3,0,4.0,20.5,10
